record_type,username,format,gxe,rating,levels,extraction_time,source,endpoint
profile,FlatEarth2070,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/FlatEarth2070
profile,stories,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/stories
profile,SonicRulz,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/SonicRulz
profile,ReturnOfTheDon,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/ReturnOfTheDon
profile,Mienshaocopium3,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Mienshaocopium3
profile,riggedpz,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/riggedpz
profile,mqdo,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/mqdo
profile,mspqlaz,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/mspqlaz
profile,Joshua12343,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Joshua12343
profile,ADASDASDASDSAD,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/ADASDASDASDSAD
profile,Speed_Aqua,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Speed_Aqua
profile,volcanionisgrand,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/volcanionisgrand
profile,Shadow0709,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Shadow0709
profile,3D&Chemicals,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/3D&Chemicals
profile,tolduitsstall,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/tolduitsstall
profile,Bramblegeist,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Bramblegeist
profile,mdqo,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/mdqo
profile,2025isnotmyyear,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/2025isnotmyyear
profile,Stuckin2024,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Stuckin2024
profile,SHENBT,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/SHENBT
profile,HavingABlast,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/HavingABlast
profile,m3p0,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/m3p0
profile,esteb1n,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/esteb1n
profile,randpokedrihem,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/randpokedrihem
profile,wqopisua,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/wqopisua
profile,samhauserfanclub,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/samhauserfanclub
profile,kalamaio,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/kalamaio
profile,8wKzDBm3nT4L1TyxQu,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/8wKzDBm3nT4L1TyxQu
profile,xorete,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/xorete
profile,Encadio,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/Encadio
profile,OnSayuzeNem,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/OnSayuzeNem
profile,Moodclues,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/Moodclues
profile,butts99999,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/butts99999
profile,Shikuleo,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/Shikuleo
profile,Kin2,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/Kin2
profile,metallowires,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/metallowires
profile,nagoL40spaz,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/nagoL40spaz
profile,inertialinitiative,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/inertialinitiative
profile,Abrobatics,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/Abrobatics
profile,qways,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/qways
profile,DragoniteFan1,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/DragoniteFan1
profile,O12D,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/O12D
profile,cold.exe,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/cold.exe
profile,BadTeamsHighLadder,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/BadTeamsHighLadder
profile,pod10,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/pod10
profile,midafin,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/midafin
profile,chusei20,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/chusei20
profile,VerySuboptimal,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/VerySuboptimal
profile,BALL$ACKZ,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/BALL$ACKZ
profile,Bellakath,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/Bellakath
profile,TheEliteFourLarry,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/TheEliteFourLarry
profile,kaloid,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/kaloid
profile,LoseToRU?,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/LoseToRU?
profile,EM57,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/EM57
profile,Jakkkkkka,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Jakkkkkka
profile,nigeiwoguolai,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/nigeiwoguolai
profile,sinoquieresno,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/sinoquieresno
profile,Persona111,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Persona111
profile,Bhartes,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Bhartes
profile,Aislinn,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Aislinn
profile,thecoolermimilucha,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/thecoolermimilucha
profile,torterralover02,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/torterralover02
profile,AliceinParis,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/AliceinParis
profile,IcedSalmon,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/IcedSalmon
profile,Neutralist,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Neutralist
profile,Mimilucha,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Mimilucha
profile,Cammellia白山茶,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Cammellia白山茶
profile,Wickard,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Wickard
profile,qoewgkwog,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/qoewgkwog
profile,pinkdinotamer,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/pinkdinotamer
profile,skarmory243,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/skarmory243
profile,gamer4905,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/gamer4905
profile,padstar36,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/padstar36
profile,uunmzxcv,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/uunmzxcv
profile,EliotEnRetar,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/EliotEnRetar
profile,jatotestes,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/jatotestes
profile,UU25PYpetrifiedcat,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/UU25PYpetrifiedcat
profile,Bananas12op,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Bananas12op
profile,hjkhj,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/hjkhj
profile,RULT85xFB,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/RULT85xFB
profile,loom25,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/loom25
profile,Havertz9,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Havertz9
profile,WingsofFreedom6,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/WingsofFreedom6
profile,bellibolt_gaming25,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/bellibolt_gaming25
profile,Gimlegara,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Gimlegara
profile,lailai223,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/lailai223
profile,PepeDuce,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/PepeDuce
profile,randpokemahyem,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/randpokemahyem
profile,Diamonds_realm,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Diamonds_realm
profile,nnujsp,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/nnujsp
profile,ClawitzerFan7,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/ClawitzerFan7
profile,anditwasallyellow,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/anditwasallyellow
profile,i<3bea,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/i<3bea
profile,SleepinNSnorlaxin',gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/SleepinNSnorlaxin'
profile,rik,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/rik
profile,Madinina,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Madinina
profile,rezalb,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/rezalb
profile,khachapuri,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/khachapuri
profile,Astra✷Zyderia,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Astra✷Zyderia
profile,youngbot,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/youngbot
profile,boscanova,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/boscanova
profile,poh,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/poh
profile,modq,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/modq
profile,PepitoTek54,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/PepitoTek54
profile,eppini,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/eppini
profile,JustOut459,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/JustOut459
profile,koopa003,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/koopa003
profile,frbsfb,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/frbsfb
profile,feufie,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/feufie
profile,brolaire,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/brolaire
profile,ruistralno,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/ruistralno
profile,woodsvs,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/woodsvs
profile,bggggm,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/bggggm
