record_type,game_name,main_story,main_extra,completionist,extraction_time,source,endpoint
hl_tb_time,RimWorld,61.77,113.51,313.58,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,The Last of Us Part II,24.07,29.48,43.11,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,StarCraft II,17.8,21.5,51.92,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,GeoGuessr,0.35,1.0,0.0,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Marvel Rivals,16.51,35.91,89.73,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,DayZ,50.77,91.58,133.78,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Rocket League,4.62,25.12,101.57,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,"No, I'm Not A Human",0.0,0.0,0.0,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Poker,5.06,10.54,14.41,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Primal Planet,0.0,0.0,0.0,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Deltarune,15.54,23.07,40.01,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Pokémon,32.2,50.35,88.35,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,MapleStory,689.17,718.14,1122.05,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
