record_type,game_name,main_story,main_extra,completionist,extraction_time,source,endpoint
hl_tb_time,Grand Theft Auto: San Andreas,30.29,45.12,72.55,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,The Bazaar,0.0,110.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,The Sims 4,22.14,104.96,288.03,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,The Elder Scrolls Online,47.87,205.0,527.03,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Cyberpunk 2077,25.84,62.7,106.67,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Super Mario Odyssey,12.52,26.93,61.99,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Fall Guys,9.57,31.85,95.75,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Path of Exile 2,33.91,64.3,120.5,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Garry's Mod,51.54,264.87,575.64,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Counter-Strike,25.99,99.67,508.11,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Art,16.26,24.96,36.42,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Escape from Tarkov,189.38,258.53,555.88,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Lost Ark,48.21,202.82,706.21,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Kings League,10.0,0.0,51.62,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Minecraft,64.65,146.1,287.07,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Street Fighter 6,17.48,33.22,72.35,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Crypto,0.0,0.0,0.0,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,VRChat,95.4,131.49,389.86,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
hl_tb_time,Stardew Valley,53.42,94.05,167.88,2025-06-10T19:53:09.246616,howlongtobeat,hltb_search
