record_type,game_id,game_name,box_art_url,extraction_time,source,endpoint
game,2142184674,Burial,https://static-cdn.jtvnw.net/ttv-boxart/2142184674_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,490422,StarCraft II,https://static-cdn.jtvnw.net/ttv-boxart/490422-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,275186889,BALL x PIT,https://static-cdn.jtvnw.net/ttv-boxart/275186889_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,31336,Metin2,https://static-cdn.jtvnw.net/ttv-boxart/31336_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,1286077738,Monster Hunter Wilds,https://static-cdn.jtvnw.net/ttv-boxart/1286077738_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,18846,Garry's Mod,https://static-cdn.jtvnw.net/ttv-boxart/18846_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,1320984402,Madden NFL 25,https://static-cdn.jtvnw.net/ttv-boxart/1320984402_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,735904419,ARK: Survival Ascended,https://static-cdn.jtvnw.net/ttv-boxart/735904419_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,75467,Euro Truck Simulator 2,https://static-cdn.jtvnw.net/ttv-boxart/75467-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,514858,League of Legends: Wild Rift,https://static-cdn.jtvnw.net/ttv-boxart/514858-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,33734,Pokémon Black/White Version 2,https://static-cdn.jtvnw.net/ttv-boxart/33734-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,514888,Crusader Kings III,https://static-cdn.jtvnw.net/ttv-boxart/514888_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,446808397,Carry The Glass,https://static-cdn.jtvnw.net/ttv-boxart/446808397_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,16967,The Legend of Zelda: The Wind Waker,https://static-cdn.jtvnw.net/ttv-boxart/16967_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,2060730947,Le Mans Ultimate,https://static-cdn.jtvnw.net/ttv-boxart/2060730947_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,19423,Heavy Rain,https://static-cdn.jtvnw.net/ttv-boxart/19423_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,2009321156,Dark and Darker,https://static-cdn.jtvnw.net/ttv-boxart/2009321156_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,13263,EVE Online,https://static-cdn.jtvnw.net/ttv-boxart/13263_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,6521,Grand Theft Auto: San Andreas,https://static-cdn.jtvnw.net/ttv-boxart/6521_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,9618,Pokémon Trading Card Game,https://static-cdn.jtvnw.net/ttv-boxart/9618_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,1986696610,The Royal Writ,https://static-cdn.jtvnw.net/ttv-boxart/1986696610_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,509577,Dungeons & Dragons,https://static-cdn.jtvnw.net/ttv-boxart/509577-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,1398657661,Anime Squad,https://static-cdn.jtvnw.net/ttv-boxart/1398657661_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
game,685022220,Amenti,https://static-cdn.jtvnw.net/ttv-boxart/685022220_IGDB-{width}x{height}.jpg,2025-06-10T19:45:49.400669,twitch,games/top
